2023/06/12 21:11:58 VMs 1, executed 48140, corpus cover 29553, corpus signal 39435, max signal 43460, crashes 0, repro 0
2023/06/12 21:12:08 VMs 1, executed 49059, corpus cover 29675, corpus signal 39624, max signal 43509, crashes 0, repro 0
2023/06/12 21:12:18 VMs 1, executed 49863, corpus cover 30012, corpus signal 40091, max signal 44006, crashes 0, repro 0
2023/06/12 21:12:28 VMs 1, executed 49863, corpus cover 30103, corpus signal 40208, max signal 44006, crashes 0, repro 0
2023/06/12 21:12:38 VMs 1, executed 50092, corpus cover 30159, corpus signal 40300, max signal 44493, crashes 0, repro 0
2023/06/12 21:12:48 VMs 1, executed 50351, corpus cover 30446, corpus signal 40752, max signal 44518, crashes 0, repro 0
2023/06/12 21:12:58 VMs 1, executed 51025, corpus cover 30667, corpus signal 41083, max signal 44571, crashes 0, repro 0
2023/06/12 21:13:08 VMs 1, executed 51277, corpus cover 30667, corpus signal 41084, max signal 45021, crashes 0, repro 0
2023/06/12 21:13:18 VMs 1, executed 51404, corpus cover 30667, corpus signal 41084, max signal 45114, crashes 0, repro 0
2023/06/12 21:13:28 VMs 1, executed 51404, corpus cover 30711, corpus signal 41168, max signal 45114, crashes 0, repro 0
2023/06/12 21:13:38 VMs 1, executed 51905, corpus cover 30969, corpus signal 41574, max signal 45137, crashes 0, repro 0
2023/06/12 21:13:48 VMs 1, executed 52527, corpus cover 31052, corpus signal 41693, max signal 45322, crashes 0, repro 0
2023/06/12 21:13:58 VMs 1, executed 53507, corpus cover 31493, corpus signal 42231, max signal 45896, crashes 0, repro 0
2023/06/12 21:14:08 VMs 1, executed 54092, corpus cover 31719, corpus signal 42559, max signal 46323, crashes 0, repro 0
2023/06/12 21:14:18 VMs 1, executed 54785, corpus cover 33777, corpus signal 45384, max signal 49140, crashes 0, repro 0
2023/06/12 21:14:28 VMs 1, executed 54785, corpus cover 33905, corpus signal 45580, max signal 49140, crashes 0, repro 0
2023/06/12 21:14:38 VMs 1, executed 55525, corpus cover 34035, corpus signal 45877, max signal 49485, crashes 0, repro 0
2023/06/12 21:14:48 VMs 1, executed 56219, corpus cover 34104, corpus signal 45993, max signal 49877, crashes 0, repro 0
2023/06/12 21:14:58 VMs 1, executed 56714, corpus cover 34303, corpus signal 46322, max signal 49971, crashes 0, repro 0
2023/06/12 21:15:08 VMs 1, executed 57399, corpus cover 34310, corpus signal 46342, max signal 50209, crashes 0, repro 0
2023/06/12 21:15:18 VMs 1, executed 58054, corpus cover 34409, corpus signal 46489, max signal 50317, crashes 0, repro 0
2023/06/12 21:15:28 VMs 1, executed 58054, corpus cover 34416, corpus signal 46508, max signal 50317, crashes 0, repro 0
2023/06/12 21:15:38 VMs 1, executed 58184, corpus cover 34445, corpus signal 46554, max signal 50318, crashes 0, repro 0
2023/06/12 21:15:48 VMs 1, executed 58333, corpus cover 34453, corpus signal 46569, max signal 50323, crashes 0, repro 0
2023/06/12 21:15:58 VMs 1, executed 58482, corpus cover 34487, corpus signal 46616, max signal 50342, crashes 0, repro 0
2023/06/12 21:16:08 VMs 1, executed 58615, corpus cover 34502, corpus signal 46641, max signal 50388, crashes 0, repro 0
2023/06/12 21:16:18 VMs 1, executed 58738, corpus cover 34512, corpus signal 46660, max signal 50477, crashes 0, repro 0
2023/06/12 21:16:28 VMs 1, executed 58738, corpus cover 34561, corpus signal 46740, max signal 50477, crashes 0, repro 0
2023/06/12 21:16:38 VMs 1, executed 58906, corpus cover 34562, corpus signal 46744, max signal 50483, crashes 0, repro 0
2023/06/12 21:16:48 VMs 1, executed 59040, corpus cover 34576, corpus signal 46770, max signal 50504, crashes 0, repro 0
2023/06/12 21:16:58 VMs 1, executed 59152, corpus cover 34579, corpus signal 46777, max signal 50528, crashes 0, repro 0
2023/06/12 21:17:08 VMs 1, executed 59443, corpus cover 34602, corpus signal 46828, max signal 50621, crashes 0, repro 0
2023/06/12 21:17:18 VMs 1, executed 59640, corpus cover 34602, corpus signal 46830, max signal 50778, crashes 0, repro 0
2023/06/12 21:17:28 VMs 1, executed 59640, corpus cover 34616, corpus signal 46855, max signal 50778, crashes 0, repro 0
