2023/03/29 20:57:14 VMs 1, executed 44957, corpus cover 28844, corpus signal 38834, max signal 43299, crashes 0, repro 0
2023/03/29 20:57:24 VMs 1, executed 44957, corpus cover 28849, corpus signal 38846, max signal 43299, crashes 0, repro 0
2023/03/29 20:57:34 VMs 1, executed 45079, corpus cover 28851, corpus signal 38854, max signal 43302, crashes 0, repro 0
2023/03/29 20:57:44 VMs 1, executed 45231, corpus cover 29220, corpus signal 39519, max signal 43308, crashes 0, repro 0
2023/03/29 20:57:54 VMs 1, executed 45983, corpus cover 29248, corpus signal 39586, max signal 43711, crashes 0, repro 0
2023/03/29 20:58:04 VMs 1, executed 46459, corpus cover 29328, corpus signal 39731, max signal 44065, crashes 0, repro 0
2023/03/29 20:58:14 VMs 1, executed 46815, corpus cover 29388, corpus signal 39827, max signal 44100, crashes 0, repro 0
2023/03/29 20:58:24 VMs 1, executed 46815, corpus cover 29469, corpus signal 39958, max signal 44100, crashes 0, repro 0
2023/03/29 20:58:34 VMs 1, executed 47505, corpus cover 29515, corpus signal 40028, max signal 44236, crashes 0, repro 0
2023/03/29 20:58:44 VMs 1, executed 47759, corpus cover 29603, corpus signal 40145, max signal 44359, crashes 0, repro 0
2023/03/29 20:58:54 VMs 1, executed 48207, corpus cover 29673, corpus signal 40265, max signal 44493, crashes 0, repro 0
2023/03/29 20:59:04 VMs 1, executed 48827, corpus cover 29759, corpus signal 40393, max signal 44708, crashes 0, repro 0
2023/03/29 20:59:14 VMs 1, executed 49430, corpus cover 29857, corpus signal 40552, max signal 45101, crashes 0, repro 0
2023/03/29 20:59:24 VMs 1, executed 49430, corpus cover 29910, corpus signal 40632, max signal 45101, crashes 0, repro 0
2023/03/29 20:59:34 VMs 1, executed 49881, corpus cover 29994, corpus signal 40732, max signal 45588, crashes 0, repro 0
2023/03/29 20:59:44 VMs 1, executed 50424, corpus cover 30222, corpus signal 41052, max signal 46002, crashes 0, repro 0
2023/03/29 20:59:54 VMs 1, executed 51322, corpus cover 30312, corpus signal 41181, max signal 46093, crashes 0, repro 0
