2023/06/07 00:28:34 VMs 1, executed 48063, corpus cover 31739, corpus signal 42341, max signal 46370, crashes 0, repro 0
2023/06/07 00:28:44 VMs 1, executed 48197, corpus cover 31740, corpus signal 42343, max signal 46517, crashes 0, repro 0
2023/06/07 00:28:54 VMs 1, executed 48197, corpus cover 32071, corpus signal 42767, max signal 46517, crashes 0, repro 0
2023/06/07 00:29:04 VMs 1, executed 48876, corpus cover 32094, corpus signal 42808, max signal 46623, crashes 0, repro 0
2023/06/07 00:29:14 VMs 1, executed 49083, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 0, repro 0
2023/06/07 00:29:24 VMs 1, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 0, repro 0
2023/06/07 00:29:32 vm-0: crash: lost connection to test machine
2023/06/07 00:29:32 reproducing crash 'no output/lost connection': 1013 programs, 1 VMs, timeouts [15s 6m0s]
2023/06/07 00:29:34 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:29:44 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:29:54 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:30:04 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:30:14 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:30:24 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:30:34 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:30:44 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:30:54 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:31:04 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:31:14 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:31:24 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:31:34 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:31:44 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:31:54 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:32:04 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:32:14 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:32:24 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:32:34 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:32:44 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:32:54 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:33:04 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:33:14 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:33:24 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:33:34 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
2023/06/07 00:33:44 VMs 0, executed 49091, corpus cover 32094, corpus signal 42808, max signal 46655, crashes 1, repro 1
